Kolasib,5,K. LALRINLIANA,Mizo National Front,LALFAMKIMA,Independent,279                                               ,Result Declared,P.C. ZORAM SANGLIANA,Indian National Congress,595
Lawngtlai East,38,H. BIAKZAUA,Mizo National Front,H. ZOTHANGLIANA,Indian National Congress,944                                               ,Result Declared,H.ZOTHANGLIANA,Indian National Congress,273
Lawngtlai West,37,C. NGUNLIANCHUNGA,Indian National Congress,C. RAMHLUNA,Mizo National Front,795                                               ,Result Declared,C.NGUNLIANCHUNGA,Indian National Congress,1535
Lengteng,21,L.THANGMAWIA,Mizo National Front,H.ROHLUNA,Indian National Congress,1772                                              ,Result Declared,H .ROHLUNA,Indian National Congress,167
Lunglei East,31,LAWMAWMA TOCHHAWNG,Mizo National Front,LALRINPUII,Independent,72                                                ,Result Declared,JOSEPH LALHIMPUIA,Indian National Congress,1611
Lunglei North,30,VANLALTANPUIA,Mizo National Front,V MALSAWMTLUANGA,Independent,395                                               ,Result Declared,P.C. LALTHANLIANA,Indian National Congress,870
Lunglei South,33,K PACHHUNGA,Mizo National Front,R LALNUNTHARA,Indian National Congress,2441                                              ,Result Declared,S. LALDINGLIANA,Indian National Congress,450
Lunglei West,32,C.LALRINSANGA,Mizo National Front,CHALROSANGA RALTE,Indian National Congress,77                                                ,Result Declared,CHALROSANGA RALTE,Indian National Congress,94
Mamit,3,H. LALZIRLIANA,Mizo National Front,JOHN ROTLUANGLIANA,Indian National Congress,407                                               ,Result Declared,JOHN ROTLUANGLIANA,Indian National Congress,2490
Palak,40,K.T. ROKHAW,Indian National Congress,M. CHAKHU,Mizo National Front,844                                               ,Result Declared,HIPHEI,Indian National Congress,1823
Serchhip,26,LALDUHOMA,Independent,LAL THANHAWLA,Indian National Congress,410                                               ,Result Declared,LAL THANHAWLA,Indian National Congress,734
Serlui,6,LALRINSANGA RALTE,Mizo National Front,LALHMACHHUANA,Indian National Congress,927                                               ,Result Declared,K. LALRINTHANGA,Indian National Congress,1406
Siaha,39,DR. K. BEICHHUA,Mizo National Front,S. HIATO,Indian National Congress,2468                                              ,Result Declared,DR. K. BEICHHUA,Mizo National Front,222
South tuipui,29,DR R LALTHANGLIANA,Mizo National Front,JOHN SIAMKUNGA,Indian National Congress,1469                                              ,Result Declared,JOHN SIAMKUNGA,Indian National Congress,1568
Tawi,9,R.LALZIRLIANA,Mizo National Front,R. LALTHATLUANGA,Independent,184                                               ,Result Declared,R LALZIRLIANA,Indian National Congress,947
Thorang,34,ZODINTLUANGA RALTE,Indian National Congress,R.ROHMINGLIANA,Mizo National Front,1240                                              ,Result Declared,ZODINTLUANGA,Indian National Congress,2504
Tuichang,22,TAWNLUIA,Mizo National Front,W. CHHUANAWMA,Independent,739                                               ,Result Declared,LALRINLIANA SAILO,Indian National Congress,2985
Tuichawng,36,BUDDHA DHAN CHAKMA,Bharatiya Janata Party,RASIK MOHAN CHAKMA,Mizo National Front,1594                                              ,Result Declared,BUDDHA DHAN CHAKMA,Indian National Congress,8726
Tuikum,27,ER. LALRINAWMA,Mizo National Front,SANGZELA TLAU,Indian National Congress,1397                                              ,Result Declared,ER. LALRINAWMA,Mizo National Front,14
Tuirial,4,ANDREW H. THANGLIANA,Independent,SAILOTHANGA SAILO,Mizo National Front,204                                               ,Result Declared,HMINGDAILOVA KHIANGTE,Indian National Congress,239
Tuivawl,7,LALCHHANDAMA RALTE,Mizo National Front,R. L. PIANMAWIA,Indian National Congress,3                                                 ,Result Declared,R. L. PIANMAWIA,Indian National Congress,1371
West tuipui,35,NIHAR KANTI CHAKMA,Indian National Congress,KINA RANJAN CHAKMA,Bharatiya Janata Party,2385                                              ,Result Declared,NIHAR KANTI CHAKMA,Indian National Congress,3334
