Dag ,197,KALURAM,Bharatiya Janata Party,MADAN LAL,Indian National Congress,19513                                             ,Result Declared,RAMCHANDRA,Bharatiya Janata Party,50397
DANTARAMGARH,36,VIRENDRA SINGH,Indian National Congress,HARISH CHAND KUMAWAT,Bharatiya Janata Party,920                                               ,Result Declared,NARAYAN SINGH,Indian National Congress,575
Dausa ,88,MURARI LAL,Indian National Congress,SHANKAR LAL SHARMA,Bharatiya Janata Party,50948                                             ,Result Declared,SHANKAR LAL SHARMA,Bharatiya Janata Party,25172
Deedwana,107,CHETAN SINGH CHOUDHARY,Indian National Congress,JITENDRA SINGH,Bharatiya Janata Party,40602                                             ,Result Declared,YOONUS KHAN,Bharatiya Janata Party,11444
Deeg-kumher,72,VISHVENDRA SINGH,Indian National Congress,DR. SHAILESH SINGH,Bharatiya Janata Party,8218                                              ,Result Declared,VISHVENDRA SINGH,Indian National Congress,11162
Degana,112,VIJAYPAL MIRDHA,Indian National Congress,AJAY SINGH KILAK,Bharatiya Janata Party,21538                                             ,Result Declared,AJAY SINGH,Bharatiya Janata Party,14482
Deoli - uniara,97,HARISH CHANDRA MEENA,Indian National Congress,RAJENDRA GURJAR,Bharatiya Janata Party,21476                                             ,Result Declared,RAJENDRA GUJAR,Bharatiya Janata Party,29635
Dhariyawad  ,157,GOTAM LAL,Bharatiya Janata Party,NAGRAJ,Indian National Congress,23842                                             ,Result Declared,GOTAM LAL,Bharatiya Janata Party,7174
DHOD,34,PARASRAM MORDIA,Indian National Congress,PEMA RAM,Communist Party of India  (Marxist),14053                                             ,Result Declared,GORDHAN,Bharatiya Janata Party,45071
Dholpur,79,SHOBHARANI KUSHWAH,Bharatiya Janata Party,DR. SHIV CHARAN SINGH KUSHAWAH,Indian National Congress,19360                                             ,Result Declared,B. L . KUSHWAH,Bahujan Samaj Party,9209
Dudu ,45,BABULAL NAGAR,Independent,DR. PREM CHAND BAIRWA,Bharatiya Janata Party,14779                                             ,Result Declared,DR.PREMCHAND BAIRWA,Bharatiya Janata Party,33720
Dungarpur ,158,GANESH GHOGRA,Indian National Congress,MADHAVLAL VARAHAT,Bharatiya Janata Party,27898                                             ,Result Declared,DEVENDRA KATARA,Bharatiya Janata Party,3845
Fatehpur,32,HAKAM ALI KHAN,Indian National Congress,SUNITA KUMARI,Bharatiya Janata Party,860                                               ,Result Declared,NAND KISHORE  MAHARIA,Independent,3926
Ganganagar,2,RAJ KUMAR GAUR,Independent,ASHOK CHANDAK,Indian National Congress,9180                                              ,Result Declared,KAMINI JINDAL,National Unionist Zamindara Party,37068
Gangapur,90,RAMKESH,Independent,MANSINGH GURJAR,Bharatiya Janata Party,10066                                             ,Result Declared,MAN SINGH,Bharatiya Janata Party,28375
Garhi ,163,KAILASH CHANDRA MEENA,Bharatiya Janata Party,KANTA BHIL,Indian National Congress,24401                                             ,Result Declared,JEETMAL KHANT,Bharatiya Janata Party,24450
Ghatol ,162,HARENDRA NINAMA,Bharatiya Janata Party,NANALAL NINAMA,Indian National Congress,4449                                              ,Result Declared,NAVANIT LAL,Bharatiya Janata Party,27198
