Kodad,90,BOLLAM MALLAIAH YADAV,Telangana Rashtra Samithi,PADMAVATHI REDDY NALAMADA,Indian National Congress,756                                               ,Result Declared,,,
Kodangal,72,PATNAM NARENDER REDDY,Telangana Rashtra Samithi,ANUMULA REVANTH REDDY,Indian National Congress,9319                                              ,Result Declared,,,
Kollapur,85,BEERAM HARSHAVARDHAN REDDY,Indian National Congress,JUPALLY KRISHNA RAO,Telangana Rashtra Samithi,12543                                             ,Result Declared,,,
Koratla,20,KALVAKUNTLA VIDYASAGAR RAO,Telangana Rashtra Samithi,JUVVADI NARSINGA RAO,Indian National Congress,31220                                             ,Result Declared,,,
Kothagudem ,117,VANAMA VENKATESWARA RAO,Indian National Congress,JALAGAM VENKAT RAO,Telangana Rashtra Samithi,4139                                              ,Result Declared,,,
Kukatpally,46,MADHAVARAM KRISHNA RAO,Telangana Rashtra Samithi,NANDAMURI VENKATA SUHASINI,Telugu Desam,41049                                             ,Result Declared,,,
Lal Bahadur Nagar,49,DEVI REDDY SUDHEER REDDY,Indian National Congress,MUDDA GOWNI RAM MOHAN GOUD,Telangana Rashtra Samithi,17848                                             ,Result Declared,,,
Madhira ,114,BHATTI VIKRAMARKA MALLU,Indian National Congress,KAMAL RAJU LINGALA,Telangana Rashtra Samithi,3567                                              ,Result Declared,,,
Mahabubabad ,102,BANOTH SHANKAR NAIK,Telangana Rashtra Samithi,BALARAM NAIK PORIKA,Indian National Congress,13534                                             ,Result Declared,,,
Mahbubnagar,74,V. SRINIVAS GOUD,Telangana Rashtra Samithi,M. CHANDRA SHEKAR,Telugu Desam,57775                                             ,Result Declared,,,
Maheshwaram,50,PATLOLLA SABITHA INDRA REDDY,Indian National Congress,TEEGALA KRISHNA REDDY,Telangana Rashtra Samithi,9227                                              ,Result Declared,,,
Makthal,77,CHITTEM RAMMOHAN REDDY,Telangana Rashtra Samithi,JALANDER REDDY,Independent,48315                                             ,Result Declared,,,
Malakpet,58,AHMED BIN ABDULLAH BALALA,All India Majlis-E-Ittehadul Muslimeen,MOHAMMED MUZAFFAR ALI KHAN,Telugu Desam,23512                                             ,Result Declared,,,
Malkajgiri,44,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,RAMCHANDER RAO NARAPARAJU,Bharatiya Janata Party,73698                                             ,Result Declared,,,
Manakondur ,30,BALAKISHAN RASAMAYI,Telangana Rashtra Samithi,AREPALLY MOHAN,Indian National Congress,31509                                             ,Result Declared,,,
Mancherial,4,NADIPELLI DIWAKAR RAO,Telangana Rashtra Samithi,KOKKIRALA PREMSAGAR RAO,Indian National Congress,4848                                              ,Result Declared,,,
Manthani,24,DUDDILLA SRIDHAR BABU,Indian National Congress,PUTTA MADHUKAR,Telangana Rashtra Samithi,16230                                             ,Result Declared,,,
Medak,34,PADMA DEVENDER REDDY. M,Telangana Rashtra Samithi,AMMAREDDY GARI UPENDER REDDY,Indian National Congress,47983                                             ,Result Declared,,,
Medchal,43,CH. MALLA REDDY,Telangana Rashtra Samithi,KICCHANNAGARI LAXMA REDDY,Indian National Congress,87990                                             ,Result Declared,,,
Miryalguda,88,NALLAMOTHU BHASKAR RAO,Telangana Rashtra Samithi,R. KRISHNAIAH,Indian National Congress,30652                                             ,Result Declared,,,
Mudhole,10,GADDIGARI VITTAL REDDY,Telangana Rashtra Samithi,PADAKANTI RAMADEVI,Bharatiya Janata Party,43331                                             ,Result Declared,,,
Mulug ,109,ANASUYA DANSARI,Indian National Congress,AZMEERA CHANDULAL,Telangana Rashtra Samithi,22671                                             ,Result Declared,,,
Munugode,93,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,KOOSUKUNTLA PRABHAKAR REDDY,Telangana Rashtra Samithi,22552                                             ,Result Declared,,,
Musheerabad,57,MUTA GOPAL,Telangana Rashtra Samithi,ANIL KUMAR YADAV M,Indian National Congress,36910                                             ,Result Declared,,,
Nagarjuna Sagar,87,NOMULA NARSIMHAIAH,Telangana Rashtra Samithi,JANA REDDY KUNDURU,Indian National Congress,7771                                              ,Result Declared,,,
Nagarkurnool,81,MARRI JANARDHAN REDDY,Telangana Rashtra Samithi,DR. JANARDHAN REDDY NAGAM,Indian National Congress,54354                                             ,Result Declared,,,
Nakrekal ,95,CHIRUMARTHI LINGAIAH,Indian National Congress,VEMULA VEERESHAM,Telangana Rashtra Samithi,8259                                              ,Result Declared,,,
Nalgonda,92,KANCHARLA BHUPAL REDDY,Telangana Rashtra Samithi,KOMATI REDDY VENKAT REDDY,Indian National Congress,23698                                             ,Result Declared,,,
Nampalli,63,JAFFAR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen,MOHAMMED FEROZ KHAN,Indian National Congress,9675                                              ,Result Declared,,,
Narayankhed,35,MAHA REDDY BHUPAL REDDY,Telangana Rashtra Samithi,SURESH KUMAR SHETKAR,Indian National Congress,58508                                             ,Result Declared,,,
Narayanpet,73,S.RAJENDER REDDY,Telangana Rashtra Samithi,K.SHIVAKUMAR REDDY,Bahujana Left Party,15187                                             ,Result Declared,,,
Narsampet ,103,PEDDI SUDARSHAN REDDY,Telangana Rashtra Samithi,DONTHI MADHAVA REDDY,Indian National Congress,16949                                             ,Result Declared,,,
Narsapur,37,CHILUMULA MADAN REDDY,Telangana Rashtra Samithi,VAKITI SUNITHA,Indian National Congress,38320                                             ,Result Declared,,,
Nirmal,9,ALLOLA INDRAKARAN REDDY,Telangana Rashtra Samithi,ALLETI MAHESHWAR REDDY,Indian National Congress,9271                                              ,Result Declared,,,
Nizamabad (Rural),18,BAJI REDDY GOVERDHAN,Telangana Rashtra Samithi,REKULAPALLY BHOOPATHI REDDY,Indian National Congress,29646                                             ,Result Declared,,,
Nizamabad (Urban),17,BIGALA GANESH,Telangana Rashtra Samithi,TAHER BIN HAMDAN,Indian National Congress,25841                                             ,Result Declared,,,
Palair,113,KANDALA UPENDER REDDY,Indian National Congress,TUMMALA NAGESWAR RAO,Telangana Rashtra Samithi,7669                                              ,Result Declared,,,
Palakurthi,100,ERRABELLI DAYAKAR RAO,Telangana Rashtra Samithi,JANGA RAGAVA REDDY,Indian National Congress,53053                                             ,Result Declared,,,
PARGI,54,K.MAHESH REDDY,Telangana Rashtra Samithi,T. RAM MOHAN REDDY,Indian National Congress,15841                                             ,Result Declared,,,
Parkal,104,CHALLA. DHARMA REDDY,Telangana Rashtra Samithi,KONDA SURAKHA,Indian National Congress,46519                                             ,Result Declared,,,
Patancheru,40,GUDEM MAHIPAL REDDY,Telangana Rashtra Samithi,KATA SRINIVAS GOUD,Indian National Congress,37699                                             ,Result Declared,,,
Peddapalle,25,MANOHAR REDDY DASARI,Telangana Rashtra Samithi,CHINTHAKUNTA VIJAYA RAMANA RAO,Indian National Congress,8466                                              ,Result Declared,,,
Pinapaka ,110,KANTHA RAO REGA,Indian National Congress,PAYAM VENKATESWARLU,Telangana Rashtra Samithi,19565                                             ,Result Declared,,,
Quthbullapur,45,K.P VIVEKANAND,Telangana Rashtra Samithi,KUNA SRISAILAM GOUD,Indian National Congress,41500                                             ,Result Declared,,,
Rajendranagar,51,TOLKANTI PRAKASH GOUD,Telangana Rashtra Samithi,GANESH RENUKUNTLA,Telugu Desam,58373                                             ,Result Declared,,,
Ramagundam,23,KORUKANTI CHANDAR PATEL,All India Forward Bloc,SOMARAPU SATYANARAYANA,Telangana Rashtra Samithi,26419                                             ,Result Declared,,,
Sanath Nagar,62,TALASANI SRINIVAS YADAV,Telangana Rashtra Samithi,KUNA VENKATESH GOUD,Telugu Desam,30651                                             ,Result Declared,,,
Sangareddy,39,TURUPU JAYAPRAKASH REDDY,Indian National Congress,CHINTA PRABHAKAR,Telangana Rashtra Samithi,2589                                              ,Result Declared,,,
Sathupalli ,116,SANDRA VENKATA VEERAIAH,Telugu Desam,PIDAMARTHI RAVI,Telangana Rashtra Samithi,19002                                             ,Result Declared,,,
secunderabad,70,T.PADMA RAO,Telangana Rashtra Samithi,KASANI GNANESHWAR MUDHIRAJ,Indian National Congress,45470                                             ,Result Declared,,,
Secunderabad Cantt.,71,G. SAYANNA,Telangana Rashtra Samithi,SATYANARAYANA SARVEY,Indian National Congress,37563                                             ,Result Declared,,,
Serilingampally,52,AREKAPUDI GANDHI,Telangana Rashtra Samithi,V.ANANDA PRASAD,Telugu Desam,44295                                             ,Result Declared,,,
Shadnagar,84,ANJAIAH YELGANAMONI,Telangana Rashtra Samithi,CHOWLAPALLY PRATAP REDDY,Indian National Congress,20425                                             ,Result Declared,,,
Siddipet,33,THANNEERU HARISH RAO,Telangana Rashtra Samithi,BHAVANI MARIKANTI,Telangana Jana Samithi,118699                                            ,Result Declared,,,
Sircilla,29,KALVAKUNTLA TARAKA RAMA RAO,Telangana Rashtra Samithi,KONDAM KARUNA MAHENDER REDDY,Indian National Congress,89009                                             ,Result Declared,,,
Sirpur,1,KONERU KONAPPA,Telangana Rashtra Samithi,DR. PALVAI HARISH BABU,Indian National Congress,24036                                             ,Result Declared,,,
Suryapet,91,GUNTAKANDLA JAGADISH REDDY,Telangana Rashtra Samithi,DAMODAR REDDY RAM REDDY,Indian National Congress,5967                                              ,Result Declared,,,
Tandur,56,ROHITH REDDY,Indian National Congress,PATNAM MAHENDER REDDY,Telangana Rashtra Samithi,2875                                              ,Result Declared,,,
Thungathurthy ,96,GADARI KISHORE KUMAR,Telangana Rashtra Samithi,ADDANKI DAYAKAR,Indian National Congress,1847                                              ,Result Declared,,,
Uppal,47,BETHI SUBHAS REDDY,Telangana Rashtra Samithi,TULLA VEERENDER GOUD,Telugu Desam,48168                                             ,Result Declared,,,
Vemulawada,28,RAMESH CHENNAMANENI,Telangana Rashtra Samithi,SRINIVAS AADI,Indian National Congress,28186                                             ,Result Declared,,,
Vikarabad,55,DR. ANAND METHUKU,Telangana Rashtra Samithi,GADDAM PRASAD KUMAR,Indian National Congress,3092                                              ,Result Declared,,,
Wanaparthy,78,SINGIREDDY NIRANJAN REDDY,Telangana Rashtra Samithi,CHINNA REDDY GILLELA,Indian National Congress,51685                                             ,Result Declared,,,
Warangal East,106,NARENDAR NANNAPUNENI,Telangana Rashtra Samithi,RAVI CHANDRA VADDIRAJU,Indian National Congress,28782                                             ,Result Declared,,,
Warangal West,105,DASYAM VINAY BHASKER,Telangana Rashtra Samithi,REVURI PRAKASH REDDY,Telugu Desam,36451                                             ,Result Declared,,,
Wardhanapet ,107,AROORI RAMESH,Telangana Rashtra Samithi,DEVAIAH PAGIDIPATI,Telangana Jana Samithi,99240                                             ,Result Declared,,,
Wyra ,115,LAVUDYA RAMULU,Independent,BANOTH MADAN LAL,Telangana Rashtra Samithi,2013                                              ,Result Declared,,,
Yakutpura,68,SYED AHMED PASHA QUADRI,All India Majlis-E-Ittehadul Muslimeen,SAMA SUNDER REDDY,Telangana Rashtra Samithi,46978                                             ,Result Declared,,,
Yellandu ,111,HARIPRIYA BANOTH,Indian National Congress,KANAKAIAH KORAM,Telangana Rashtra Samithi,2887                                              ,Result Declared,,,
Yellareddy,15,JAJALA SURENDER,Indian National Congress,EANUGU RAVINDER REDDY,Telangana Rashtra Samithi,35148                                             ,Result Declared,,,
Zahirabad ,38,KONINTY MANIK RAO,Telangana Rashtra Samithi,DR. JETTY GEETA,Indian National Congress,34473                                             ,Result Declared,,,
